Tester,도킹유형,보드번호,PKG_Type,body_Size,양산_FT,보드제작처,Socket제작처,제품명,자작FT가능,Comment
3360D,Flat Cable,A-FB60-6,,,FBHS,FBHS,FBHS,A96T218(DUT2),　,　
3360D,Flat Cable,A-FB60-7,,,FBHS,FBHS,FBHS,A96L322AEN,　,　
3360D,Flat Cable,A-FB60-8,,,FBHS,FBHS,FBHS,AM311DSN(1 DUT),　,　
3360D,Flat Cable,A-FB60-9,,,FBHS,FBHS,FBHS,A96L533AEN,　,　
3360D,Flat Cable,A-FB60-10,,,FBHS,FBHS,FBHS,A96T356 : DUT1,　,　
3360D,Flat Cable,A-FB60-10,,,FBHS,FBHS,FBHS,MC97F1204S :DUT2,,
3360D,Flat Cable,A-FB60-11,,,FBHS,FBHS,FBHS,A31G213GRN,　,　
3360D,Flat Cable,A-FB60-12,,,FBHS,FBHS,FBHS,MC96FT1616DB,　,　
3360D,Flat Cable,A-FB60-13,,,FBHS,FBHS,FBHS,MC97FG316 : DUT1,　,8316PDBN
3360D,Flat Cable,A-FB60-13,,,FBHS,FBHS,FBHS,MC96FT1616 : DUT2,,
3360D,Flat Cable,A-FB60-14,,,FBHS,FBHS,FBHS,A96L533AEN-D01,　,2ND
3360D,Flat Cable,A-FB60-15,,,FBHS,FBHS,FBHS,MC97F6108,　,　
3360D,Flat Cable,A-FB60-16,,,FBHS,FBHS,FBHS,A96L623AEN,O,　
3360D,Flat Cable,A-FB60-17,,,FBHS,FBHS,FBHS,A31G112KNN,　,MANUAL
3360D,Flat Cable,A-FB60-17,,,FBHS,FBHS,FBHS,A96G166KNN,,
3360D,Flat Cable,A-FB60-18,,,FBHS,FBHS,FBHS,A94B114,　,　
3360D,Flat Cable,A-FB60-19,,,FBHS,FBHS,FBHS,MC97F6108A, ,　
3360D,Flat Cable,A-FB60-20,,,FBHS,FBHS,FBHS,A96L533AEB-02,　,2ND
3360D,Flat Cable,A-FB60-21,,,FBHS,FBHS,FBHS,ADAM27P16GN,　,　
3360D,Flat Cable,A-FB60-22,,,FBHS,FBHS,FBHS,AL1112,　,　
3360D,Flat Cable,A-FB60-23,,,FBHS,FBHS,FBHS,A96T430GRN,　,　
3360D,Flat Cable,A-FB60-24,,,FBHS,FBHS,FBHS,범용,　,　
3360D,Flat Cable,A-FB60-25,,,FBHS,FBHS,FBHS,A96L416FRN-D02,O,　
3360D,Flat Cable,A-FB60-26,,,FBHS,FBHS,FBHS,A31M223GR2N,　,　
3360D,Flat Cable,A-FB60-27,,,FBHS,FBHS,FBHS,A96L416FUN,　,　
3360D,Flat Cable,A-FB60-28,,,FBHS,FBHS,FBHS,　,　,　
